BS 토라노 마키 5-31.smc	UNRENDERED	0	0.00	0.00	57435	-	-	291
BS 트레저 컨플릭스.smc	OK	24913	0.00	0.00	0	$cc:07ac	002140	12217
BS 파르러! 파르러!.smc	OK	54710	0.00	65.58	0	$c3:52e8	004212	14213
BS 파이어 엠블렘 아카네이아 전기 1 - 궁전 함락.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 파이어 엠블렘 아카네이아 전기 2 - 붉은 용기사.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 파이어 엠블렘 아카네이아 전기 3 - 정의의 도적단.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 파이어 엠블렘 아카네이아 전기 4 - 시작의 때.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 패널 데 폰 - 이벤트 98.smc	OK	57190	0.73	2.59	0	$80:919d	802143	12312
BS 페네크 - 6월호.smc	UNRENDERED	0	0.00	0.00	0	-	-	8277
BS 포케카메 매거진.smc	OK	491	66.79	0.00	0	$c0:99a1	7e0742	11856
BS 플로이트의 도전장 1.smc	OK	491	66.72	0.00	0	$c0:99a1	7e0742	11855
BS 플로이트의 도전장 2.smc	OK	491	66.80	0.00	0	$c0:99a1	7e0742	11856
BS 플로이트의 도전장 3.smc	OK	491	66.79	0.00	0	$c0:99a1	7e0742	11856
BS 플로이트의 도전장 4.smc	OK	491	66.79	0.00	0	$c0:99a1	7e0742	11856
BS 플로이트의 도전장 5.smc	OK	491	66.79	0.00	0	$c0:99a1	7e0742	11856
BS 플로이트의 도전장 6.smc	OK	491	66.79	0.00	0	$c0:99a1	7e0742	11856
BS 헤이세이 군인 장기.smc	OK	57344	25.33	0.47	0	$80:8078	800a94	12325
BS-X 바이오스.smc	UNRENDERED	0	0.00	88.86	0	$80:900a	804213	14107
CB 캐릭터 워즈 - 잃어버린 개그 (CB Chara Wars - Ushinawareta Gag).smc	UNRENDERED	0	24.44	1.37	0	$00:e344	00002c	14118
Captain Commando (U).smc	UNRENDERED	0	0.00	0.00	0	$c0:3340	002140	9791
Cool Spot (U) [!].smc	OK	49072	56.50	0.46	117	$00:d4c1	0008bc	12998
Dragon Ball Z - Super Butouden 2 (J) (V1.1).smc	UNRENDERED	0	0.00	90.03	0	$81:9228	804212	15766
E.V.O. 에덴을 찾아서 (E.V.O. - Search for Eden).smc	OK	8023	55.41	11.97	0	$1e:cdd7	00005e	14467
ESPN 내셔널 하키 나이트 (ESPN National Hockey Night).smc	BOOT_CRASH	-	-	-	-	-	-	
ESPN 베이스볼 투나잇 (ESPN Baseball Tonight).smc	OK	30879	35.98	0.31	0	$8f:d1b3	000091	12310
ESPN 선데이 나잇 NFL (ESPN Sunday Night NFL).smc	UNRENDERED	0	1.06	1.21	33522	$bd:ae57	832141	6072
